1845;3028,0.08189
4238;2432,0.04936,1327,0.17653,419,0.44409,364,0.72579,312,1.02195,146,1.38692,60,1.80412,53,2.22838,16,2.70196,7,3.19926,5,3.7034,4,4.21413,3,4.7272,2,5.24505,1,5.76732,0,6.29495,4966,6.81726,2450,6.86575,1835,6.94852,945,7.11875,469,7.37001,277,7.67939,257,7.99626,48,8.42793,39,8.86844,4844,9.30737,2603,9.3489,2566,9.39235,1588,9.49421,811,9.68285,734,9.88343
1147;896,0.1764,686,0.3855,656,0.59988,618,0.81981,570,1.05064,302,1.35116,149,1.71478,127,2.08961,126,2.46517,80,2.86787,45,3.30223,20,3.76861,19,4.2362,15,4.71291,10,5.20098,8,5.6946,3,6.20757,2,6.72541,1,7.24769,0,7.77532,4966,8.29763,2450,8.34611,1835,8.42888,945,8.59912,469,8.85038,277,9.15976,257,9.47663,48,9.9083
147;128,0.37443,82,0.77641,51,1.20329,28,1.65704,24,2.11608,23,2.57579,20,3.04222,19,3.50981,15,3.98652,10,4.47459,8,4.96821,3,5.48118,2,5.99903,1,6.5213,0,7.04893,4966,7.57124,2450,7.61973,1835,7.70249,945,7.87273,469,8.12399,277,8.43337,257,8.75024,48,9.18191,39,9.62242
3915;2211,0.06115,1288,0.19199,1009,0.35262,787,0.54537,156,0.90572,154,1.26752,147,1.63201,128,2.00644,82,2.40842,51,2.8353,28,3.28905,24,3.74809,23,4.2078,20,4.67423,19,5.14182,15,5.61853,10,6.1066,8,6.60022,3,7.11319,2,7.63104,1,8.15331,0,8.68094,4966,9.20325,2450,9.25174,1835,9.33451,945,9.50474,469,9.756
421;290,0.3049,100,0.69807,32,1.14576,10,1.63375,8,2.12737,3,2.64034,2,3.15818,1,3.68046,0,4.20809,4966,4.73039,2450,4.77888,1835,4.86165,945,5.03189,469,5.28315,277,5.59253,257,5.9094,48,6.34107,39,6.78158,4,7.29202,4970,7.79621,4345,7.7994,836,7.98413,795,8.17538,633,8.39297,597,8.61784,282,8.92506,266,9.23855,160,9.59676,135,9.96729
3879;3766,0.01089,3129,0.03472,2627,0.07549,1169,0.21801,1154,0.36238,367,0.64251,266,0.9559,160,1.31411,135,1.68464,55,2.1064,49,2.53673,48,2.96862,39,3.40913,4,3.91956,3,4.43264,2,4.95048,1,5.47276,0,6.00039,4966,6.52269,2450,6.57118,1835,6.65395,945,6.82419,469,7.07545,277,7.38483,257,7.7017,40,8.14033,35,8.58635,34,9.03306,32,9.48079,10,9.96879
2330;1943,0.07528,1328,0.2024,1105,0.35194,245,0.67352,178,1.02274,143,1.38955,132,1.7619,85,2.16217,54,2.58557,49,3.01592,48,3.44781,39,3.88832,4,4.39876,3,4.91183,2,5.42968,1,5.95195,0,6.47958,4966,7.00189,2450,7.05038,1835,7.13315,945,7.30338,469,7.55464,277,7.86402,257,8.18089,40,8.61953,35,9.06555,34,9.51225,32,9.95999
1702;920,0.17308,861,0.35449,689,0.56301,89,0.96157,66,1.37413,49,1.80443,48,2.23632,39,2.67683,4,3.18727,3,3.70034,2,4.21819,1,4.74046,0,5.26809,4966,5.7904,2450,5.83889,1835,5.92166,945,6.09189,469,6.34315,277,6.65253,257,6.9694,40,7.40804,35,7.85406,34,8.30076,32,8.7485,10,9.23649,8,9.73011
499;314,0.29506,269,0.60665,266,0.92017,160,1.27839,135,1.64891,55,2.07068,49,2.50101,48,2.93289,39,3.3734,4,3.88384,3,4.39691,2,4.91476,1,5.43704,0,5.96467,4966,6.48697,2450,6.53546,1835,6.61823,945,6.78846,469,7.03972,277,7.3491,257,7.66597,40,8.10461,35,8.55063,34,8.99733,32,9.44507,10,9.93307
780;746,0.19816,429,0.46242,393,0.73567,268,1.0474,197,1.38594,167,1.74052,143,2.10735,132,2.4797,85,2.87997,54,3.30337,49,3.73372,48,4.16561,39,4.60612,4,5.11656,3,5.62963,2,6.14748,1,6.66975,0,7.19738,4966,7.71969,2450,7.76818,1835,7.85095,945,8.02118,469,8.27244,277,8.58182,257,8.89869,40,9.33733,35,9.78335
2155;1882,0.07876,460,0.33219,381,0.60879,309,0.90643,170,1.25935,82,1.66128,51,2.08815,28,2.5419,24,3.00095,23,3.46065,20,3.92708,19,4.39467,15,4.87138,10,5.35946,8,5.85307,3,6.36604,2,6.88389,1,7.40617,0,7.9338,4966,8.4561,2450,8.50459,1835,8.58736,945,8.75759,469,9.00885,277,9.31823,257,9.6351
3389;1785,0.08693,1584,0.18909,1186,0.33018,835,0.51513,757,0.71136,298,1.01399,247,1.33494,227,1.66339,217,1.99547,148,2.35951,65,2.77304,41,3.21089,26,3.66798,21,4.13275,7,4.63003,5,5.13417,4,5.64489,3,6.15797,2,6.67582,1,7.19809,0,7.72572,4966,8.24803,2450,8.29652,1835,8.37928,945,8.54952,469,8.80078,277,9.11016,257,9.42703,48,9.8587
3417;2803,0.03467,2563,0.07823,1172,0.22049,156,0.58071,154,0.9425,147,1.30699,128,1.68142,82,2.08341,51,2.51029,28,2.96403,24,3.42308,23,3.88278,20,4.34921,19,4.8168,15,5.29351,10,5.78159,8,6.2752,3,6.78817,2,7.30602,1,7.8283,0,8.35593,4966,8.87823,2450,8.92672,1835,9.00949,945,9.17972,469,9.43098,277,9.74036
1760;702,0.20591,598,0.43014,563,0.66237,326,0.953,180,1.30164,120,1.68158,105,2.0716,93,2.46852,55,2.89033,49,3.32066,48,3.75255,39,4.19306,4,4.7035,3,5.21657,2,5.73442,1,6.25669,0,6.78432,4966,7.30663,2450,7.35512,1835,7.43788,945,7.60812,469,7.85938,277,8.16876,257,8.48563,40,8.92426,35,9.37028,34,9.81699
4909;4635,0.00116,2089,0.06842,490,0.3152,346,0.60056,140,0.96845,136,1.33805,78,1.74165,37,2.18493,35,2.631,34,3.0777,32,3.52544,10,4.01343,8,4.50705,3,5.02002,2,5.53787,1,6.06014,0,6.58777,4966,7.11008,2450,7.15857,1835,7.24133,945,7.41157,469,7.66283,277,7.97221,257,8.28908,48,8.72075,39,9.16126,4,9.6717
1464;653,0.21458,255,0.53211,194,0.87266,119,1.25371,91,1.65134,75,2.05768,73,2.46615,42,2.90294,5,3.40673,4,3.91746,3,4.43053,2,4.94838,1,5.47066,0,5.99829,4966,6.52059,2450,6.56908,1835,6.65185,945,6.82208,469,7.07334,277,7.38272,257,7.69959,48,8.13127,39,8.57177,4844,9.0107,2603,9.05223,2566,9.09568,1588,9.19754,811,9.38618,734,9.58677,507,9.83001
3669;1712,0.09216,948,0.26147,813,0.44976,506,0.69322,445,0.95192,354,1.23535,236,1.56013,210,1.89482,160,2.25306,135,2.62359,55,3.04535,49,3.47568,48,3.90756,39,4.34807,4,4.85851,3,5.37159,2,5.88943,1,6.41171,0,6.93934,4966,7.46164,2450,7.51013,1835,7.5929,945,7.76313,469,8.0144,277,8.32378,257,8.64064,40,9.07928,35,9.5253,34,9.97201
328;230,0.32778,220,0.65908,125,1.0358,97,1.43006,60,1.84728,53,2.27155,16,2.74512,7,3.24243,5,3.74657,4,4.25729,3,4.77037,2,5.28821,1,5.81049,0,6.33812,4966,6.86042,2450,6.90891,1835,6.99168,945,7.16192,469,7.41318,277,7.72256,257,8.03943,48,8.4711,39,8.91161,4844,9.35054,2603,9.39207,2566,9.43552,1588,9.53738,811,9.72602,734,9.9266
3682;2048,0.06953,1786,0.15644,1104,0.30611,796,0.4972,159,0.85591,122,1.23482,108,1.62294,29,2.07547,21,2.54019,7,3.03747,5,3.5416,4,4.05233,3,4.5654,2,5.08325,1,5.60553,0,6.13316,4966,6.65546,2450,6.70395,1835,6.78672,945,6.95695,469,7.20822,277,7.51759,257,7.83446,48,8.26614,39,8.70665,4844,9.14557,2603,9.1871,2566,9.23056,1588,9.33242,811,9.52105,734,9.72164,507,9.96488
4481;3202,0.02181,2805,0.05645,1993,0.12865,779,0.32261,312,0.61865,146,0.98361,60,1.40081,53,1.82508,16,2.29865,7,2.79596,5,3.3001,4,3.81082,3,4.3239,2,4.84174,1,5.36402,0,5.89165,4966,6.41395,2450,6.46244,1835,6.54521,945,6.71545,469,6.96671,277,7.27609,257,7.59296,48,8.02463,39,8.46514,4844,8.90407,2603,8.9456,2566,8.98905,1588,9.09091,811,9.27955,734,9.48013,507,9.72338,430,9.98733
2425;864,0.18091,618,0.40082,570,0.63165,302,0.93217,149,1.29579,127,1.67061,126,2.04618,80,2.44887,45,2.88324,20,3.34962,19,3.8172,15,4.29392,10,4.78199,8,5.27561,3,5.78858,2,6.30642,1,6.8287,0,7.35633,4966,7.87863,2450,7.92712,1835,8.00989,945,8.18013,469,8.43139,277,8.74077,257,9.05764,48,9.48931,39,9.92982
2997;1520,0.10737,1397,0.22658,981,0.39114,740,0.59057,287,0.89626,238,1.2204,133,1.59177,89,1.99078,66,2.40333,49,2.83364,48,3.26552,39,3.70603,4,4.21647,3,4.72954,2,5.24739,1,5.76967,0,6.2973,4966,6.8196,2450,6.86809,1835,6.95086,945,7.12109,469,7.37236,277,7.68174,257,7.9986,40,8.43724,35,8.88326,34,9.32997,32,9.7777
2097;1833,0.08295,1704,0.17561,780,0.36947,746,0.56763,429,0.83189,393,1.10514,268,1.41687,197,1.75541,167,2.10999,143,2.47682,132,2.84917,85,3.24944,54,3.67284,49,4.10319,48,4.53508,39,4.97559,4,5.48603,3,5.9991,2,6.51695,1,7.03922,0,7.56685,4966,8.08916,2450,8.13765,1835,8.22042,945,8.39065,469,8.64191,277,8.95129,257,9.26816,40,9.7068
2872;2646,0.04,2360,0.09316,2191,0.15525,1099,0.30576,787,0.49849,156,0.85884,154,1.22064,147,1.58513,128,1.95956,82,2.36154,51,2.78842,28,3.24216,24,3.70121,23,4.16091,20,4.62734,19,5.09493,15,5.57164,10,6.05972,8,6.55334,3,7.0663,2,7.58415,1,8.10643,0,8.63406,4966,9.15636,2450,9.20485,1835,9.28762,945,9.45785,469,9.70912
4072;2821,0.03383,1915,0.11032,1759,0.19858,454,0.45388,295,0.75745,260,1.07313,188,1.4164,111,1.80293,59,2.22137,22,2.6831,13,3.16295,11,3.64742,9,4.13832,5,4.64242,4,5.15315,3,5.66623,2,6.18407,1,6.70635,0,7.23398,4966,7.75628,2450,7.80477,1835,7.88754,945,8.05778,469,8.30904,277,8.61842,257,8.93529,48,9.36696,39,9.80747
2839;929,0.17197,286,0.47798,264,0.79237,175,1.14333,159,1.50231,122,1.88122,108,2.26933,29,2.72187,21,3.18658,7,3.68386,5,4.188,4,4.69873,3,5.2118,2,5.72965,1,6.25192,0,6.77955,4966,7.30186,2450,7.35035,1835,7.43312,945,7.60335,469,7.85461,277,8.16399,257,8.48086,48,8.91253,39,9.35304,4844,9.79197,2603,9.8335,2566,9.87695,1588,9.97881
4322;680,0.20994,429,0.47423,393,0.74749,268,1.05921,197,1.39776,167,1.75233,143,2.11917,132,2.49151,85,2.89178,54,3.31518,49,3.74554,48,4.17742,39,4.61793,4,5.12837,3,5.64144,2,6.15929,1,6.68157,0,7.2092,4966,7.7315,2450,7.77999,1835,7.86276,945,8.03299,469,8.28425,277,8.59363,257,8.9105,40,9.34914,35,9.79516
2922;1765,0.08786,1365,0.21087,1223,0.34822,536,0.58479,392,0.85839,147,1.22285,128,1.59728,82,1.99927,51,2.42614,28,2.87989,24,3.33894,23,3.79864,20,4.26507,19,4.73266,15,5.20937,10,5.69745,8,6.19106,3,6.70403,2,7.22188,1,7.74416,0,8.27178,4966,8.79409,2450,8.84258,1835,8.92535,945,9.09558,469,9.34684,277,9.65622,257,9.97309
1457;1099,0.15059,787,0.34331,156,0.70366,154,1.06546,147,1.42995,128,1.80438,82,2.20637,51,2.63324,28,3.08699,24,3.54603,23,4.00574,20,4.47217,19,4.93976,15,5.41647,10,5.90455,8,6.39816,3,6.91113,2,7.42898,1,7.95125,0,8.47888,4966,9.00119,2450,9.04968,1835,9.13245,945,9.30268,469,9.55394,277,9.86332
1876;846,0.18281,229,0.51078,200,0.84824,120,1.22816,105,1.61817,93,2.01509,55,2.4369,49,2.86723,48,3.29912,39,3.73963,4,4.25007,3,4.76314,2,5.28099,1,5.80327,0,6.3309,4966,6.8532,2450,6.90169,1835,6.98446,945,7.15469,469,7.40595,277,7.71533,257,8.0322,40,8.47084,35,8.91686,34,9.36356,32,9.8113
3783;1865,0.08029,707,0.28523,541,0.52072,125,0.89723,97,1.29149,60,1.70872,53,2.13298,16,2.60656,7,3.10386,5,3.608,4,4.11873,3,4.6318,2,5.14965,1,5.67193,0,6.19956,4966,6.72186,2450,6.77035,1835,6.85312,945,7.02335,469,7.27461,277,7.58399,257,7.90086,48,8.33254,39,8.77304,4844,9.21197,2603,9.2535,2566,9.29696,1588,9.39882,811,9.58745,734,9.78804
2325;876,0.17928,444,0.43832,183,0.78493,38,1.22639,35,1.67243,34,2.11914,32,2.56687,10,3.05487,8,3.54849,3,4.06146,2,4.5793,1,5.10158,0,5.62921,4966,6.15151,2450,6.2,1835,6.28277,945,6.453,469,6.70427,277,7.01365,257,7.33051,48,7.76219,39,8.2027,4,8.71314,4970,9.21732,4345,9.22051,836,9.40525,795,9.5965,633,9.81409
1996;1881,0.07902,1753,0.16762,1272,0.30015,680,0.51025,429,0.77454,393,1.04779,268,1.35952,197,1.69806,167,2.05263,143,2.41947,132,2.79182,85,3.19209,54,3.61549,49,4.04584,48,4.47773,39,4.91824,4,5.42868,3,5.94175,2,6.4596,1,6.98187,0,7.5095,4966,8.03181,2450,8.0803,1835,8.16306,945,8.3333,469,8.58456,277,8.89394,257,9.21081,40,9.64944
3516;1419,0.11636,1281,0.24815,1168,0.39093,581,0.6201,436,0.88117,347,1.16603,135,1.53642,55,1.95819,49,2.38852,48,2.8204,39,3.26091,4,3.77135,3,4.28442,2,4.80227,1,5.32455,0,5.85218,4966,6.37448,2450,6.42297,1835,6.50574,945,6.67597,469,6.92723,277,7.23661,257,7.55348,40,7.99212,35,8.43814,34,8.88484,32,9.33258,10,9.82058
2146;980,0.1648,946,0.33466,430,0.59856,326,0.88924,180,1.23788,120,1.61782,105,2.00784,93,2.40476,55,2.82657,49,3.2569,48,3.68879,39,4.1293,4,4.63974,3,5.15281,2,5.67066,1,6.19293,0,6.72056,4966,7.24287,2450,7.29136,1835,7.37413,945,7.54436,469,7.79562,277,8.105,257,8.42187,40,8.86051,35,9.30653,34,9.75323
2203;1396,0.11934,1339,0.24543,353,0.529,306,0.82807,229,1.15606,200,1.49352,120,1.87344,105,2.26345,93,2.66037,55,3.08219,49,3.51252,48,3.9444,39,4.38491,4,4.89535,3,5.40842,2,5.92627,1,6.44855,0,6.97618,4966,7.49848,2450,7.54697,1835,7.62974,945,7.79997,469,8.05124,277,8.36061,257,8.67748,40,9.11612,35,9.56214
2497;1734,0.09063,1140,0.23663,516,0.47724,156,0.83772,154,1.19952,147,1.56401,128,1.93844,82,2.34042,51,2.7673,28,3.22104,24,3.68009,23,4.13979,20,4.60622,19,5.07381,15,5.55052,10,6.0386,8,6.53222,3,7.04519,2,7.56303,1,8.08531,0,8.61294,4966,9.13524,2450,9.18373,1835,9.2665,945,9.43673,469,9.688,277,9.99738
580;306,0.29904,229,0.62704,200,0.9645,120,1.34441,105,1.73443,93,2.13135,55,2.55316,49,2.98349,48,3.41538,39,3.85589,4,4.36633,3,4.8794,2,5.39725,1,5.91952,0,6.44715,4966,6.96946,2450,7.01795,1835,7.10072,945,7.27095,469,7.52221,277,7.83159,257,8.14846,40,8.5871,35,9.03312,34,9.47982,32,9.92755
3992;3776,0.01065,3367,0.0289,2318,0.08398,1825,0.16733,919,0.34057,896,0.517,686,0.7261,656,0.94047,618,1.16041,570,1.39124,302,1.69176,149,2.05538,127,2.4302,126,2.80576,80,3.20846,45,3.64283,20,4.1092,19,4.57679,15,5.0535,10,5.54158,8,6.03519,3,6.54816,2,7.06601,1,7.58829,0,8.11592,4966,8.63822,2450,8.68671,1835,8.76948,945,8.93971,469,9.19097,277,9.50035,257,9.81722
2112;1566,0.10373,553,0.33759,191,0.67911,149,1.04276,127,1.41758,126,1.79315,80,2.19584,45,2.63021,20,3.09658,19,3.56417,15,4.04089,10,4.52896,8,5.02258,3,5.53555,2,6.05339,1,6.57567,0,7.1033,4966,7.6256,2450,7.67409,1835,7.75686,945,7.9271,469,8.17836,277,8.48774,257,8.80461,48,9.23628,39,9.67679
